,price,property_type,bedrooms,bathrooms_text,beds,neighbourhood_cleansed
2787,99.0,Entire condominium (condo),2.0,2.0,2.0,CBD
2788,300.0,Entire townhouse,2.0,1.0,4.0,Speer
2789,51.0,Entire rental unit,1.0,1.0,1.0,North Park Hill
2790,65.0,Entire rental unit,1.0,1.0,1.0,North Park Hill
2791,102.0,Entire condominium (condo),1.0,1.0,1.0,City Park West
2792,25.0,Private room in townhouse,1.0,1.5,1.0,Virginia Village
2793,515.0,Entire residential home,4.0,2.0,9.0,West Colfax
2794,66.0,Entire rental unit,1.0,1.0,1.0,Five Points
2795,300.0,Entire condominium (condo),2.0,2.0,2.0,Union Station
2796,61.0,Entire rental unit,1.0,1.0,1.0,Five Points
2798,67.0,Entire rental unit,1.0,1.0,2.0,North Park Hill
2799,22.0,Private room in serviced apartment,1.0,0.0,1.0,Gateway - Green Valley Ranch
2800,128.0,Entire serviced apartment,1.0,1.0,1.0,Baker
2801,259.0,Entire residential home,2.0,1.5,2.0,Congress Park
2803,125.0,Tiny house,1.0,1.0,1.0,Villa Park
2804,125.0,Entire townhouse,2.0,2.0,2.0,West Colfax
2805,212.0,Entire residential home,2.0,1.0,3.0,Cole
2806,75.0,Private room in rental unit,1.0,1.0,0.0,Marston
2807,150.0,Entire condominium (condo),1.0,1.0,1.0,Union Station
2808,246.0,Entire loft,1.0,1.0,1.0,Union Station
2809,206.0,Entire guest suite,2.0,1.0,3.0,Berkeley
2810,150.0,Entire loft,1.0,1.0,1.0,Stapleton
2811,150.0,Entire condominium (condo),1.0,1.0,1.0,Stapleton
2812,112.0,Entire guest suite,1.0,1.0,3.0,Berkeley
2813,146.0,Entire rental unit,1.0,1.0,1.0,Gateway - Green Valley Ranch
2814,143.0,Entire rental unit,1.0,1.0,1.0,DIA
2815,84.0,Entire guest suite,1.0,1.0,1.0,Virginia Village
2816,435.0,Entire residential home,4.0,2.0,4.0,West Highland
2817,228.0,Entire rental unit,1.0,1.0,1.0,Union Station
2818,191.0,Entire residential home,2.0,2.0,2.0,Baker
2819,140.0,Entire condominium (condo),1.0,1.0,1.0,Union Station
2820,135.0,Entire rental unit,1.0,1.0,1.0,Speer
2821,45.0,Private room in residential home,1.0,1.0,0.0,Ruby Hill
2822,275.0,Entire rental unit,2.0,2.0,2.0,Highland
2823,129.0,Entire rental unit,2.0,1.0,2.0,West Colfax
2824,73.0,Entire residential home,2.0,1.0,1.0,Villa Park
2825,178.0,Entire rental unit,3.0,2.0,3.0,Highland
2826,235.0,Entire rental unit,1.0,1.0,2.0,Five Points
2827,271.0,Entire residential home,5.0,2.0,5.0,Washington Virginia Vale
2828,66.0,Entire rental unit,1.0,1.0,1.0,City Park West
2829,600.0,Entire townhouse,6.0,4.5,7.0,Sloan Lake
2830,225.0,Entire guest suite,2.0,1.0,5.0,University Park
2831,230.0,Entire condominium (condo),1.0,1.0,2.0,Union Station
2832,58.0,Private room in townhouse,1.0,1.5,1.0,Stapleton
2833,155.0,Entire condominium (condo),2.0,1.0,2.0,Speer
2834,118.0,Entire condominium (condo),1.0,1.0,1.0,Union Station
2836,119.0,Private room in townhouse,2.0,2.0,2.0,Whittier
2837,63.0,Entire residential home,1.0,1.0,1.0,Skyland
2838,123.0,Entire residential home,2.0,1.0,2.0,Berkeley
2839,75.0,Private room in townhouse,1.0,1.0,1.0,Skyland
2840,228.0,Entire rental unit,1.0,1.0,1.0,Union Station
2841,119.0,Entire residential home,2.0,1.0,2.0,Lincoln Park
2842,399.0,Entire residential home,3.0,2.5,3.0,Sunnyside
2844,195.0,Entire condominium (condo),1.0,1.0,1.0,Union Station
2845,95.0,Entire condominium (condo),2.0,2.0,3.0,City Park West
2846,81.0,Private room in bed and breakfast,1.0,1.5,1.0,Stapleton
2847,100.0,Entire condominium (condo),2.0,2.0,4.0,City Park West
2848,95.0,Entire condominium (condo),2.0,2.0,3.0,City Park West
2849,100.0,Entire guest suite,2.0,1.0,3.0,Virginia Village
2851,200.0,Entire residential home,2.0,2.0,3.0,Lincoln Park
2852,49.0,Entire rental unit,1.0,1.0,1.0,Highland
2853,200.0,Entire townhouse,2.0,2.5,2.0,Five Points
2856,79.0,Entire condominium (condo),1.0,1.0,1.0,CBD
2857,150.0,Entire loft,1.0,1.0,1.0,Stapleton
2858,275.0,Entire residential home,2.0,1.0,3.0,Athmar Park
2859,175.0,Entire condominium (condo),1.0,1.0,1.0,Capitol Hill
2860,150.0,Entire loft,1.0,1.0,1.0,Stapleton
2861,90.0,Private room in residential home,1.0,1.5,1.0,Gateway - Green Valley Ranch
2862,89.0,Entire residential home,3.0,1.0,3.0,Harvey Park South
2863,425.0,Entire townhouse,3.0,3.5,2.0,Sunnyside
2865,417.0,Entire townhouse,2.0,3.0,2.0,Jefferson Park
2866,166.0,Entire residential home,3.0,2.0,3.0,West Highland
2867,131.0,Entire rental unit,1.0,1.0,1.0,Union Station
2868,121.0,Entire rental unit,1.0,1.0,1.0,Union Station
2869,155.0,Entire loft,1.0,2.0,2.0,Civic Center
2870,231.0,Entire rental unit,2.0,2.0,2.0,Union Station
2871,332.0,Entire townhouse,3.0,2.5,3.0,Highland
2872,109.0,Entire residential home,1.0,1.0,1.0,Westwood
2873,82.0,Entire rental unit,1.0,1.0,1.0,Congress Park
2874,122.0,Entire guest suite,2.0,1.0,2.0,West Highland
2875,231.0,Entire condominium (condo),2.0,2.0,2.0,Capitol Hill
2876,182.0,Entire serviced apartment,2.0,2.0,2.0,Highland
2877,186.0,Entire serviced apartment,2.0,2.0,2.0,Highland
2878,107.0,Entire cottage,1.0,1.0,1.0,Capitol Hill
